Estructura de generación (MW)

Hora,Eólica,Nuclear,Fuel/gas,Carbón,Ciclo combinado,Intercambios int,Enlace balear,Solar fotovoltaica,Solar térmica,Térmica renovable,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-04-28 20:25","1626","0","0","0","1242","979","0","3361","509","547","489","0","0","-16","0","484","0","515","0","3596",
"2025-04-28 20:30","1626","0","0","0","2217","1037","0","3359","509","547","492","0","0","0","0","468","79","482","0","3591",
"2025-04-28 20:35","1626","0","0","0","2249","1208","0","3355","509","547","503","0","0","0","0","698","65","423","0","3693",
"2025-04-28 20:40","1616","0","0","0","2264","1195","0","3348","509","547","502","0","0","0","0","736","25","418","0","3843",
"2025-04-28 20:45","1584","0","0","0","2283","1564","0","3316","509","547","497","0","0","0","0","1096","0","407","0","4003",
"2025-04-28 20:50","1582","0","0","0","2285","1706","0","3306","509","547","497","0","0","-12","0","1253","0","455","0","4247",
"2025-04-28 20:55","1581","0","0","0","2286","1635","0","3130","509","547","496","0","0","0","0","911","10","716","0","4623",
"2025-04-28 21:00","1578","0","0","0","2295","1665","0","2824","509","547","495","0","0","-17","0","934","0","775","0","4704",
"2025-04-28 21:05","1580","0","0","0","2309","1657","0","2624","509","550","488","0","0","-7","0","968","0","724","0","4846",
"2025-04-28 21:10","1580","0","0","0","2311","1912","0","2513","509","550","491","0","0","0","0","1039","11","868","0","4836",
"2025-04-28 21:15","1580","0","0","0","2335","1759","0","2318","509","550","478","0","0","0","0","1019","2","768","0","4817",
"2025-04-28 21:20","1580","0","0","0","2424","1714","0","2310","509","550","479","0","0","-3","0","1001","0","704","0","4809",
"2025-04-28 21:25","1580","0","0","0","2493","1394","0","2310","509","550","483","0","0","-17","0","808","0","605","0","4985",
"2025-04-28 21:30","1601","0","0","0","2523","1151","0","2310","509","550","485","0","0","-3","0","714","0","435","0","5145",
"2025-04-28 21:35","1598","0","0","0","2563","980","0","2310","509","550","480","0","0","-18","0","668","0","344","0","5253",
"2025-04-28 21:40","1570","0","0","0","2576","1020","0","2310","509","550","478","0","0","-17","0","731","0","306","0","5261",
"2025-04-28 21:45","1590","0","0","0","2587","994","0","2310","509","550","479","0","0","-23","0","723","0","274","0","5301",
"2025-04-28 21:50","1570","0","0","0","2691","1048","0","2310","509","550","478","0","0","-20","0","782","0","268","0","5299",
"2025-04-28 21:55","1563","0","0","0","2771","1158","0","2310","509","550","461","0","0","-27","0","868","0","293","0","5283",
"2025-04-28 22:00","1654","0","0","0","2874","1012","0","2275","509","550","455","0","0","0","0","766","31","251","0","5344",
"2025-04-28 22:05","1593","0","0","0","2904","1109","0","2269","509","547","465","0","0","-10","0","746","0","387","0","5525",
"2025-04-28 22:10","1596","0","0","0","2975","1154","0","2261","509","547","466","0","0","0","0","795","6","348","0","5491",
"2025-04-28 22:15","1596","0","0","0","3038","1269","0","2258","509","547","465","0","0","0","0","780","33","327","0","5475",
"2025-04-28 22:20","1572","0","0","0","3089","1485","0","2256","509","547","446","0","0","0","0","780","33","327","0","5523",
"2025-04-28 22:25","1574","0","0","0","3157","1546","0","2256","509","547","420","0","0","0","0","780","33","327","0","5461",
"2025-04-28 22:30","1574","0","0","0","3307","1458","0","2256","509","547","406","0","0","0","0","780","33","327","0","5418",
"2025-04-28 22:35","1479","0","0","0","3429","1092","0","2256","509","547","386","0","0","0","0","780","33","327","0","5521",
"2025-04-28 22:40","1381","0","0","0","3502","1042","0","2193","509","547","387","0","0","0","0","780","33","327","0","5509",
"2025-04-28 22:45","1377","0","0","0","3572","949","0","2193","509","547","388","0","0","0","0","780","33","327","0","5540",
"2025-04-28 22:50","1378","0","0","0","3629","771","0","2193","509","550","387","0","0","0","0","780","33","327","0","5540",
"2025-04-28 22:55","1379","0","0","0","3732","730","0","2193","509","550","387","0","0","0","0","780","33","327","0","5537",
"2025-04-28 23:00","1373","0","0","0","3798","753","0","2192","509","550","389","0","0","0","0","780","33","327","0","5539",
"2025-04-28 23:05","1374","0","0","0","3851","661","0","2168","509","545","391","0","0","0","0","780","33","327","0","5518",
"2025-04-28 23:10","1373","0","0","0","3914","664","0","2168","509","545","390","0","0","0","0","780","33","327","0","5495",
"2025-04-28 23:15","1371","0","0","0","3955","905","0","2143","509","545","386","0","0","0","0","780","33","327","0","5476",
"2025-04-28 23:20","1372","0","0","0","4037","870","0","2143","509","549","395","0","0","0","0","780","33","327","0","5535",
"2025-04-28 23:25","1370","0","0","0","4135","757","0","2140","509","549","403","0","0","0","0","780","33","327","0","5512",
"2025-04-28 23:30","1849","0","0","0","5504","625","0","2262","509","549","403","0","0","0","0","780","33","327","0","5547",
"2025-04-28 23:35","1850","0","0","0","5674","536","0","2255","509","548","406","0","0","0","0","780","33","327","0","5681",
"2025-04-28 23:40","1849","0","0","0","5801","428","0","2255","509","548","403","0","0","0","0","780","33","327","0","5711",
"2025-04-28 23:45","1853","0","0","0","5926","363","0","2248","509","548","404","0","0","0","0","780","33","327","0","5652",
"2025-04-28 23:50","1834","0","0","0","6019","245","0","2248","509","548","406","0","0","0","0","780","33","327","0","5659",
"2025-04-28 23:55","1833","0","0","0","6333","169","0","2242","509","548","412","0","0","0","0","780","33","327","0","5617",
"2025-04-29 00:00","1818","0","0","0","6514","-219","0","2240","509","548","416","0","0","0","0","780","33","327","0","5657",
"2025-04-29 00:05","1587","0","0","0","6621","-29","0","2240","509","376","411","0","0","0","0","780","33","327","0","5581",
"2025-04-29 00:10","1587","0","0","18","6639","348","0","2227","509","376","413","0","0","0","0","129","10","471","0","5336",
"2025-04-29 00:15","1596","0","0","18","6741","450","0","1820","509","376","404","0","0","0","-52","0","8","349","0","5281",
"2025-04-29 00:20","1597","0","0","30","6863","342","0","1820","509","376","409","0","0","0","0","86","19","432","0","5288",
"2025-04-29 00:25","1597","0","0","46","6974","447","0","1625","509","376","414","0","0","-11","-162","0","0","287","0","5271",
"2025-04-29 00:30","1595","0","0","58","7155","310","0","1398","509","376","422","0","0","-3","0","2","0","297","0","5217",
"2025-04-29 00:35","1592","0","0","60","7288","327","0","1256","509","376","425","0","0","-1","-49","0","0","259","0","5141",
"2025-04-29 00:40","1590","0","0","59","7439","362","0","967","509","376","431","0","0","0","0","21","12","325","0","5069",
"2025-04-29 00:45","1588","0","0","70","7590","275","0","957","509","376","425","0","0","-21","0","39","0","347","0","5024",
"2025-04-29 00:50","1588","0","0","67","7764","368","0","945","509","376","426","0","0","-22","-78","0","0","325","0","4942",
"2025-04-29 00:55","1551","0","0","74","7457","345","0","940","509","376","432","0","0","-2","-145","0","0","218","0","5063",
"2025-04-29 01:00","1552","0","0","77","7496","206","0","934","509","376","420","0","0","0","0","8","8","187","0","5272",
"2025-04-29 01:05","1602","0","0","90","7616","214","0","926","509","376","427","0","0","0","0","79","34","203","0","5309",
"2025-04-29 01:10","1604","0","0","103","7622","393","0","889","488","376","428","0","0","-53","-181","0","0","228","0","5237",
"2025-04-29 01:15","1601","0","0","111","7634","220","0","884","488","376","422","0","0","-22","-68","0","0","168","0","5343",
"2025-04-29 01:20","1599","0","0","123","8071","185","0","863","488","376","426","0","0","0","0","82","14","235","0","5535",
"2025-04-29 01:25","1600","0","0","130","8090","178","0","852","488","376","427","0","0","0","0","128","19","279","0","5615",
"2025-04-29 01:30","1599","0","0","134","8055","223","0","852","488","376","417","0","0","-27","-46","0","0","256","0","5660",
"2025-04-29 01:35","1598","0","0","139","8065","471","0","851","488","376","410","0","0","0","-189","0","1","229","0","5648",
"2025-04-29 01:40","1597","0","0","152","8096","225","0","821","488","376","407","0","0","0","0","13","8","236","0","5966",
"2025-04-29 01:45","1601","0","0","152","8088","256","0","817","488","376","409","0","0","-1","-6","0","0","216","0","5988",
"2025-04-29 01:50","1600","0","0","143","8078","188","0","809","488","376","417","0","0","0","-1","0","4","175","0","6062",
"2025-04-29 01:55","1601","0","0","139","8049","220","0","809","488","376","421","0","0","0","0","38","1","240","0","6082",
"2025-04-29 02:00","1603","0","0","148","8065","403","0","806","488","376","407","0","0","0","0","27","2","353","0","6136",
"2025-04-29 02:05","1886","0","0","160","8182","221","0","806","488","376","407","0","0","0","0","34","24","285","0","6086",
"2025-04-29 02:10","1850","0","0","154","8041","478","0","806","488","376","426","0","0","0","-101","0","23","317","0","5868",
"2025-04-29 02:15","1838","0","0","156","7502","339","0","803","488","376","426","0","0","0","-57","0","3","298","0","5997",
"2025-04-29 02:20","1841","0","0","156","7533","148","0","702","488","376","428","0","0","0","0","95","1","229","0","6123",
"2025-04-29 02:25","1831","0","0","157","7497","216","0","702","488","376","418","0","0","0","0","90","7","243","0","6057",
"2025-04-29 02:30","1724","0","0","158","8244","300","0","700","488","376","412","0","0","0","-111","0","7","173","0","6041",
"2025-04-29 02:35","1585","0","0","158","8328","117","0","700","488","376","404","0","0","0","-48","0","13","71","0","6063",
"2025-04-29 02:40","1452","0","0","158","8252","115","0","668","488","376","429","0","0","0","-91","0","1","8","0","6152",
"2025-04-29 02:45","1472","0","0","161","8244","-32","0","647","403","376","426","0","0","-2","0","60","0","42","0","6270",
"2025-04-29 02:50","1551","0","0","166","8312","-80","0","647","403","376","427","0","-26","0","0","62","8","0","0","6305",
"2025-04-29 02:55","1566","0","0","166","8316","-29","0","645","403","376","432","0","-8","-44","-18","0","0","0","0","6328",
"2025-04-29 03:00","1595","0","0","185","8232","-22","0","639","403","376","423","0","0","-8","0","27","0","3","0","6384",
