Estructura de almacenamiento (MW)

Hora,Turbinación bombeo,Consumo bombeo,Baterías,Consumo baterías
"2025-04-28 08:25","1054","-137","0","0",
"2025-04-28 08:30","896","-270","2","0",
"2025-04-28 08:35","955","-271","2","0",
"2025-04-28 08:40","849","-302","2","0",
"2025-04-28 08:45","751","-409","2","0",
"2025-04-28 08:50","761","-438","0","0",
"2025-04-28 08:55","781","-573","2","0",
"2025-04-28 09:00","858","-579","2","0",
"2025-04-28 09:05","1009","-631","0","-2",
"2025-04-28 09:10","1000","-732","0","-1",
"2025-04-28 09:15","992","-787","0","-1",
"2025-04-28 09:20","851","-830","0","-1",
"2025-04-28 09:25","620","-922","0","-1",
"2025-04-28 09:30","395","-970","0","0",
"2025-04-28 09:35","264","-963","0","-2",
"2025-04-28 09:40","185","-994","0","-2",
"2025-04-28 09:45","174","-1036","0","-3",
"2025-04-28 09:50","171","-1061","0","-3",
"2025-04-28 09:55","93","-1425","0","-3",
"2025-04-28 10:00","87","-1837","0","-3",
"2025-04-28 10:05","28","-2021","0","-2",
"2025-04-28 10:10","28","-2125","0","-1",
"2025-04-28 10:15","28","-2439","0","-1",
"2025-04-28 10:20","28","-2615","0","-1",
"2025-04-28 10:25","28","-2836","0","-1",
"2025-04-28 10:30","28","-2829","0","-1",
"2025-04-28 10:35","28","-2823","0","-1",
"2025-04-28 10:40","28","-2840","0","-1",
"2025-04-28 10:45","28","-2829","0","-1",
"2025-04-28 10:50","28","-2823","0","-1",
"2025-04-28 10:55","28","-2827","0","-2",
"2025-04-28 11:00","28","-2917","0","-2",
"2025-04-28 11:05","28","-2871","0","-2",
"2025-04-28 11:10","28","-2906","0","-2",
"2025-04-28 11:15","28","-2910","0","-2",
"2025-04-28 11:20","28","-2996","0","-2",
"2025-04-28 11:25","28","-3002","0","-2",
"2025-04-28 11:30","28","-2973","0","-2",
"2025-04-28 11:35","28","-2964","0","-2",
"2025-04-28 11:40","28","-2973","0","-2",
"2025-04-28 11:45","28","-2968","0","-2",
"2025-04-28 11:50","28","-2976","0","-2",
"2025-04-28 11:55","28","-2995","0","-2",
"2025-04-28 12:00","28","-3018","0","-2",
"2025-04-28 12:05","28","-2988","0","-8",
"2025-04-28 12:10","28","-3028","0","-8",
"2025-04-28 12:15","28","-3041","0","-8",
"2025-04-28 12:20","28","-3045","0","-8",
"2025-04-28 12:25","28","-3038","0","-8",
"2025-04-28 12:30","28","-3030","0","-8",
"2025-04-28 12:35","28","-893","0","-1",
"2025-04-28 12:40","28","-845","0","-1",
"2025-04-28 12:45","28","-845","0","-1",
"2025-04-28 12:50","28","-845","0","-1",
"2025-04-28 12:55","28","-845","0","-1",
"2025-04-28 13:00","28","-845","0","-1",
"2025-04-28 13:05","28","-846","0","-1",
"2025-04-28 13:10","28","-845","0","-1",
"2025-04-28 13:15","29","-845","0","-1",
"2025-04-28 13:20","28","-846","0","-1",
"2025-04-28 13:25","28","-845","0","-1",
"2025-04-28 13:30","28","-845","0","-1",
"2025-04-28 13:35","28","-845","0","-1",
"2025-04-28 13:40","28","-845","0","-1",
"2025-04-28 13:45","28","-845","0","-1",
"2025-04-28 13:50","28","-845","0","-1",
"2025-04-28 13:55","28","-845","0","-1",
"2025-04-28 14:00","29","-845","0","-1",
"2025-04-28 14:05","29","-284","0","-1",
"2025-04-28 14:10","29","-284","0","-1",
"2025-04-28 14:15","29","-284","0","-1",
"2025-04-28 14:20","29","-284","0","-1",
"2025-04-28 14:25","29","-284","0","-1",
"2025-04-28 14:30","29","-284","0","-1",
"2025-04-28 14:35","29","-284","0","-1",
"2025-04-28 14:40","29","-284","0","-1",
"2025-04-28 14:45","29","-284","0","-1",
"2025-04-28 14:50","29","-284","0","-1",
"2025-04-28 14:55","29","-284","0","-1",
"2025-04-28 15:00","28","-284","0","-1",
"2025-04-28 15:05","29","-284","0","-1",
"2025-04-28 15:10","30","-284","0","-1",
"2025-04-28 15:15","33","-284","0","-1",
"2025-04-28 15:20","34","-284","0","-1",
"2025-04-28 15:25","34","-284","0","-1",
"2025-04-28 15:30","35","-284","0","-1",
"2025-04-28 15:35","37","-284","0","-1",
"2025-04-28 15:40","45","-284","0","-1",
"2025-04-28 15:45","47","-284","0","-1",
"2025-04-28 15:50","123","-284","0","-1",
"2025-04-28 15:55","189","-284","0","-1",
"2025-04-28 16:00","215","-284","0","-1",
"2025-04-28 16:05","334","-305","0","-1",
"2025-04-28 16:10","292","-284","0","-1",
"2025-04-28 16:15","290","-284","0","-1",
"2025-04-28 16:20","293","-284","0","-1",
"2025-04-28 16:25","295","-284","0","-1",
"2025-04-28 16:30","296","-284","0","-1",
"2025-04-28 16:35","359","-284","0","-1",
"2025-04-28 16:40","361","-284","0","-1",
"2025-04-28 16:45","383","-284","0","-1",
"2025-04-28 16:50","405","-284","0","-1",
"2025-04-28 16:55","398","-284","0","-1",
"2025-04-28 17:00","449","-284","0","-1",
"2025-04-28 17:05","534","-284","0","-1",
"2025-04-28 17:10","677","-284","0","-1",
"2025-04-28 17:15","681","-284","0","-1",
"2025-04-28 17:20","680","-284","0","-1",
"2025-04-28 17:25","708","-284","0","-1",
"2025-04-28 17:30","718","-284","0","-1",
"2025-04-28 17:35","698","-284","0","-1",
"2025-04-28 17:40","712","-284","0","-1",
"2025-04-28 17:45","729","-284","0","-1",
"2025-04-28 17:50","1279","-284","0","-1",
"2025-04-28 17:55","1474","-284","0","-1",
"2025-04-28 18:00","1614","-284","0","-1",
"2025-04-28 18:05","1213","-284","0","-1",
"2025-04-28 18:10","1219","-284","0","-1",
"2025-04-28 18:15","1230","-284","0","-1",
"2025-04-28 18:20","1230","-284","0","-1",
"2025-04-28 18:25","1235","-284","0","-1",
"2025-04-28 18:30","1233","-284","0","-1",
"2025-04-28 18:35","1225","-284","0","-1",
"2025-04-28 18:40","1307","-284","0","-1",
"2025-04-28 18:45","1433","-284","0","-1",
"2025-04-28 18:50","1295","-284","0","-1",
"2025-04-28 18:55","1309","-284","0","-1",
"2025-04-28 19:00","1309","-284","0","-1",
"2025-04-28 19:05","1304","-284","0","-1",
"2025-04-28 19:10","1408","-284","0","-1",
"2025-04-28 19:15","1402","-284","0","-1",
"2025-04-28 19:20","1484","-284","0","-1",
"2025-04-28 19:25","1479","-284","0","-1",
"2025-04-28 19:30","1494","-284","0","-1",
"2025-04-28 19:35","1478","-284","0","-1",
"2025-04-28 19:40","1479","-284","0","-1",
"2025-04-28 19:45","1484","-284","0","-1",
"2025-04-28 19:50","1479","-284","0","-1",
"2025-04-28 19:55","1485","-284","0","-1",
"2025-04-28 20:00","1363","-284","0","-1",
"2025-04-28 20:05","1255","-284","0","-1",
"2025-04-28 20:10","1398","-284","0","-1",
"2025-04-28 20:15","1604","-284","0","-1",
"2025-04-28 20:20","1841","-284","0","-1",
"2025-04-28 20:25","1877","-284","0","-1",
"2025-04-28 20:30","1857","-284","0","-1",
"2025-04-28 20:35","1851","-284","0","-1",
"2025-04-28 20:40","1838","-284","0","-1",
"2025-04-28 20:45","1872","-284","0","-1",
"2025-04-28 20:50","1876","-284","0","-1",
"2025-04-28 20:55","1879","-284","0","-1",
"2025-04-28 21:00","2002","-284","0","-1",
"2025-04-28 21:05","1967","-284","0","-1",
"2025-04-28 21:10","1869","-284","0","-1",
"2025-04-28 21:15","1869","-284","0","-1",
"2025-04-28 21:20","1864","-284","0","-1",
"2025-04-28 21:25","1892","-284","0","-1",
"2025-04-28 21:30","1884","-284","0","-1",
"2025-04-28 21:35","1898","-284","0","-1",
"2025-04-28 21:40","1882","-284","0","-1",
"2025-04-28 21:45","1892","-284","0","-1",
"2025-04-28 21:50","1884","-284","0","-1",
"2025-04-28 21:55","1872","-284","0","-1",
"2025-04-28 22:00","1882","-284","0","-1",
"2025-04-28 22:05","1840","-284","0","-1",
"2025-04-28 22:10","1840","-284","0","-1",
"2025-04-28 22:15","1732","-284","0","-1",
"2025-04-28 22:20","1731","-284","0","-1",
"2025-04-28 22:25","1727","-284","0","-1",
"2025-04-28 22:30","1711","-284","0","-1",
"2025-04-28 22:35","1731","-284","0","-1",
"2025-04-28 22:40","1732","-284","0","-1",
"2025-04-28 22:45","1730","-284","0","-1",
"2025-04-28 22:50","1730","-284","0","-1",
"2025-04-28 22:55","1729","-284","0","-1",
"2025-04-28 23:00","1728","-284","0","-1",
"2025-04-28 23:05","1733","-284","0","-1",
"2025-04-28 23:10","1727","-284","0","-1",
"2025-04-28 23:15","1694","-284","0","-1",
"2025-04-28 23:20","1694","-284","0","-1",
"2025-04-28 23:25","1689","-284","0","-1",
"2025-04-28 23:30","1680","-284","0","-1",
"2025-04-28 23:35","1692","-284","0","-1",
"2025-04-28 23:40","1690","-284","0","-1",
"2025-04-28 23:45","1685","-284","0","-1",
"2025-04-28 23:50","1682","-284","0","-1",
"2025-04-28 23:55","1668","-284","0","-1",
"2025-04-29 00:00","1688","-284","0","-1",
"2025-04-29 00:05","1675","-382","0","-1",
"2025-04-29 00:10","1484","-381","0","-1",
"2025-04-29 00:15","1385","-383","0","-1",
"2025-04-29 00:20","1382","-382","0","-1",
"2025-04-29 00:25","1395","-472","0","-1",
"2025-04-29 00:30","1323","-483","0","-1",
"2025-04-29 00:35","1283","-481","0","-1",
"2025-04-29 00:40","1194","-483","0","-1",
"2025-04-29 00:45","1134","-482","0","-1",
"2025-04-29 00:50","1101","-481","0","-1",
"2025-04-29 00:55","1153","-575","0","-1",
"2025-04-29 01:00","1204","-575","0","-1",
"2025-04-29 01:05","1113","-644","0","-1",
"2025-04-29 01:10","1088","-666","0","-1",
"2025-04-29 01:15","1108","-666","0","-1",
"2025-04-29 01:20","989","-758","0","-1",
"2025-04-29 01:25","1002","-846","0","-1",
"2025-04-29 01:30","886","-847","0","-1",
"2025-04-29 01:35","933","-1058","0","-1",
"2025-04-29 01:40","968","-1131","0","-1",
"2025-04-29 01:45","972","-1129","0","-1",
"2025-04-29 01:50","972","-1130","0","-1",
"2025-04-29 01:55","973","-1129","0","-1",
"2025-04-29 02:00","1049","-1340","0","-1",
"2025-04-29 02:05","1021","-1337","0","-1",
"2025-04-29 02:10","964","-1336","0","-1",
"2025-04-29 02:15","1008","-1338","0","-1",
"2025-04-29 02:20","1054","-1339","0","-1",
"2025-04-29 02:25","964","-1338","0","-1",
"2025-04-29 02:30","978","-1338","0","-1",
"2025-04-29 02:35","1003","-1336","0","-1",
"2025-04-29 02:40","983","-1338","0","-1",
"2025-04-29 02:45","1028","-1337","0","-1",
"2025-04-29 02:50","1052","-1337","0","-1",
"2025-04-29 02:55","1048","-1336","0","-1",
"2025-04-29 03:00","1099","-1339","0","-1",
